	Over	Runs	Wickets
589	20.0	11.0	1.0
590	1.0	6.0	0.0
591	2.0	10.0	0.0
592	3.0	1.0	1.0
593	4.0	8.0	1.0
594	5.0	4.0	1.0
595	6.0	9.0	0.0
596	7.0	5.0	0.0
597	8.0	4.0	0.0
598	9.0	16.0	0.0
599	10.0	6.0	0.0
600	11.0	6.0	0.0
601	12.0	15.0	0.0
602	13.0	8.0	0.0
603	14.0	4.0	0.0
604	15.0	8.0	0.0
605	16.0	11.0	0.0
606	17.0	8.0	0.0
607	18.0	3.0	0.0
608	19.0	6.0	0.0
609	1.0	3.0	0.0
610	2.0	14.0	0.0
611	3.0	10.0	0.0
612	4.0	18.0	0.0
613	5.0	8.0	1.0
614	6.0	5.0	0.0
615	7.0	13.0	0.0
616	8.0	4.0	0.0
617	9.0	4.0	0.0
618	10.0	12.0	0.0
619	11.0	11.0	0.0
620	12.0	11.0	0.0
621	13.0	6.0	0.0
622	14.0	19.0	0.0
623	15.0	13.0	1.0
624	16.0	8.0	0.0
625	17.0	8.0	1.0
626	18.0	11.0	1.0
627	19.0	6.0	1.0
628	20.0	7.0	0.0
629	1.0	7.0	1.0
630	2.0	10.0	0.0
631	3.0	10.0	0.0
632	4.0	15.0	0.0
633	5.0	6.0	2.0
634	6.0	7.0	0.0
635	7.0	4.0	0.0
636	8.0	6.0	0.0
637	9.0	6.0	0.0
638	10.0	12.0	0.0
639	11.0	14.0	0.0
640	12.0	10.0	0.0
641	13.0	11.0	0.0
642	14.0	12.0	0.0
643	15.0	4.0	0.0
644	16.0	6.0	1.0
645	17.0	4.0	0.0
646	18.0	13.0	0.0
647	19.0	5.0	1.0
648	20.0	19.0	0.0
649	1.0	6.0	0.0
650	2.0	10.0	0.0
651	3.0	10.0	0.0
652	4.0	4.0	1.0
653	5.0	8.0	0.0
654	6.0	12.0	0.0
655	7.0	4.0	1.0
656	8.0	5.0	0.0
657	9.0	8.0	1.0
658	10.0	9.0	0.0
659	11.0	7.0	0.0
660	12.0	7.0	1.0
661	13.0	3.0	1.0
662	14.0	5.0	0.0
663	15.0	13.0	1.0
664	16.0	8.0	0.0
665	17.0	9.0	1.0
666	18.0	9.0	0.0
667	19.0	17.0	0.0
668	20.0	10.0	1.0
669	1.0	11.0	0.0
670	2.0	6.0	0.0
671	3.0	11.0	0.0
672	4.0	5.0	0.0
673	5.0	4.0	0.0
674	6.0	4.0	1.0
675	7.0	5.0	1.0
676	8.0	9.0	0.0
677	9.0	12.0	0.0
678	10.0	10.0	0.0
679	11.0	13.0	1.0
680	12.0	11.0	0.0
681	13.0	7.0	0.0
682	14.0	2.0	0.0
683	15.0	19.0	0.0
684	16.0	11.0	0.0
685	17.0	8.0	0.0
686	18.0	10.0	0.0
687	19.0	9.0	0.0
688	1.0	5.0	0.0
689	2.0	6.0	1.0
690	3.0	10.0	0.0
691	4.0	5.0	0.0
692	5.0	12.0	0.0
693	6.0	7.0	0.0
694	7.0	8.0	1.0
695	8.0	7.0	0.0
696	9.0	15.0	0.0
697	10.0	14.0	0.0
698	11.0	14.0	0.0
699	12.0	8.0	2.0
700	13.0	8.0	0.0
701	14.0	12.0	0.0
702	15.0	11.0	0.0
703	16.0	14.0	0.0
704	17.0	8.0	0.0
705	18.0	16.0	1.0
706	19.0	9.0	0.0
707	20.0	7.0	2.0
708	1.0	9.0	0.0
709	2.0	13.0	1.0
710	3.0	9.0	0.0
711	4.0	8.0	0.0
712	5.0	5.0	1.0
713	6.0	7.0	1.0
714	7.0	3.0	0.0
715	8.0	16.0	0.0
716	9.0	4.0	0.0
717	10.0	4.0	0.0
718	11.0	15.0	0.0
719	12.0	7.0	0.0
720	13.0	7.0	0.0
721	14.0	13.0	1.0
722	15.0	8.0	1.0
723	16.0	8.0	0.0
724	17.0	7.0	0.0
725	18.0	4.0	2.0
726	19.0	4.0	2.0
727	20.0	0.0	1.0
728	1.0	4.0	0.0
729	2.0	7.0	0.0
730	3.0	2.0	0.0
731	4.0	15.0	1.0
732	5.0	9.0	0.0
733	6.0	10.0	0.0
734	7.0	7.0	0.0
735	8.0	11.0	0.0
736	9.0	5.0	1.0
737	10.0	12.0	0.0
738	11.0	16.0	0.0
739	12.0	8.0	0.0
740	13.0	8.0	0.0
741	14.0	5.0	0.0
742	15.0	7.0	1.0
743	16.0	1.0	0.0
744	17.0	10.0	0.0
745	18.0	7.0	1.0
746	19.0	14.0	1.0
747	20.0	11.0	1.0
748	1.0	8.0	0.0
749	2.0	17.0	0.0
750	3.0	6.0	0.0
751	4.0	12.0	0.0
752	5.0	11.0	0.0
753	6.0	10.0	0.0
754	7.0	19.0	0.0
755	8.0	10.0	0.0
756	9.0	8.0	0.0
757	10.0	5.0	0.0
758	11.0	7.0	0.0
759	12.0	5.0	1.0
760	13.0	5.0	0.0
761	14.0	11.0	0.0
762	15.0	8.0	1.0
763	16.0	5.0	0.0
764	17.0	7.0	0.0
765	18.0	2.0	0.0
766	19.0	16.0	0.0
767	1.0	8.0	0.0
768	2.0	9.0	0.0
769	3.0	2.0	0.0
770	4.0	3.0	0.0
771	5.0	12.0	0.0
772	6.0	7.0	0.0
773	7.0	10.0	0.0
774	8.0	14.0	0.0
775	9.0	11.0	0.0
776	10.0	5.0	0.0
777	11.0	20.0	0.0
778	12.0	7.0	1.0
779	13.0	1.0	1.0
780	14.0	8.0	1.0
781	15.0	6.0	1.0
782	16.0	8.0	0.0
783	17.0	18.0	0.0
784	18.0	9.0	1.0
785	19.0	6.0	2.0
786	20.0	1.0	3.0
787	1.0	10.0	0.0
788	2.0	6.0	0.0
789	3.0	8.0	1.0
790	4.0	6.0	0.0
791	5.0	6.0	0.0
792	6.0	7.0	0.0
793	7.0	3.0	1.0
794	8.0	7.0	0.0
795	9.0	5.0	0.0
796	10.0	3.0	0.0
797	11.0	18.0	0.0
798	12.0	4.0	1.0
799	13.0	5.0	0.0
800	14.0	15.0	0.0
801	15.0	3.0	0.0
802	16.0	17.0	1.0
803	17.0	14.0	0.0
804	18.0	13.0	1.0
805	19.0	21.0	0.0
806	1.0	5.0	0.0
807	2.0	11.0	0.0
808	3.0	7.0	0.0
809	4.0	9.0	1.0
810	5.0	12.0	0.0
811	6.0	5.0	0.0
812	7.0	8.0	0.0
813	8.0	11.0	0.0
814	9.0	14.0	1.0
815	10.0	3.0	0.0
816	11.0	6.0	0.0
817	12.0	11.0	1.0
818	13.0	2.0	1.0
819	14.0	7.0	1.0
820	15.0	8.0	0.0
821	16.0	9.0	0.0
822	17.0	12.0	0.0
823	18.0	10.0	0.0
824	19.0	7.0	1.0
825	20.0	21.0	0.0
826	1.0	10.0	0.0
827	2.0	6.0	0.0
828	3.0	7.0	1.0
829	4.0	2.0	2.0
830	5.0	4.0	1.0
831	6.0	2.0	0.0
832	7.0	4.0	0.0
833	8.0	7.0	0.0
834	9.0	3.0	0.0
835	10.0	7.0	1.0
836	11.0	5.0	0.0
837	12.0	6.0	0.0
838	13.0	17.0	0.0
839	14.0	5.0	0.0
840	15.0	16.0	0.0
841	16.0	12.0	0.0
842	17.0	11.0	0.0
843	18.0	18.0	0.0
844	19.0	18.0	1.0
845	20.0	9.0	0.0
846	1.0	5.0	0.0
847	2.0	9.0	0.0
848	3.0	3.0	0.0
849	4.0	9.0	0.0
850	5.0	9.0	0.0
851	6.0	15.0	2.0
852	7.0	4.0	0.0
853	8.0	4.0	0.0
854	9.0	4.0	0.0
855	10.0	12.0	0.0
856	11.0	4.0	0.0
857	12.0	14.0	0.0
858	13.0	10.0	1.0
859	14.0	8.0	1.0
860	15.0	2.0	1.0
861	16.0	6.0	1.0
862	17.0	6.0	0.0
863	18.0	10.0	0.0
864	19.0	22.0	1.0
865	20.0	6.0	1.0
866	1.0	2.0	0.0
867	2.0	2.0	1.0
868	3.0	2.0	1.0
869	4.0	16.0	0.0
870	5.0	7.0	0.0
871	6.0	8.0	0.0
872	7.0	5.0	1.0
873	8.0	11.0	0.0
874	9.0	12.0	0.0
875	10.0	16.0	0.0
876	11.0	4.0	1.0
877	12.0	5.0	0.0
878	13.0	11.0	0.0
879	14.0	8.0	0.0
880	15.0	5.0	1.0
881	16.0	5.0	0.0
882	17.0	10.0	1.0
883	18.0	3.0	2.0
884	19.0	1.0	2.0
885	1.0	1.0	2.0
886	2.0	9.0	0.0
887	3.0	2.0	1.0
888	4.0	4.0	0.0
889	5.0	14.0	0.0
890	6.0	8.0	1.0
891	7.0	3.0	0.0
892	8.0	5.0	1.0
893	9.0	5.0	0.0
894	10.0	7.0	0.0
895	11.0	1.0	0.0
896	12.0	17.0	0.0
897	13.0	8.0	0.0
898	14.0	3.0	0.0
899	15.0	4.0	2.0
900	16.0	5.0	0.0
901	17.0	1.0	2.0
902	18.0	1.0	0.0
903	19.0	11.0	1.0
904	1.0	0.0	0.0
905	2.0	6.0	0.0
906	3.0	8.0	0.0
907	4.0	10.0	0.0
908	5.0	10.0	0.0
909	6.0	10.0	0.0
910	7.0	10.0	0.0
911	8.0	8.0	0.0
912	9.0	8.0	0.0
913	10.0	4.0	0.0
914	11.0	10.0	1.0
915	12.0	4.0	1.0
916	13.0	12.0	0.0
917	14.0	4.0	0.0
918	15.0	2.0	0.0
919	1.0	1.0	2.0
920	2.0	6.0	0.0
921	3.0	4.0	0.0
922	4.0	4.0	1.0
923	5.0	4.0	0.0
924	6.0	7.0	0.0
925	7.0	6.0	0.0
926	8.0	8.0	0.0
927	9.0	5.0	0.0
928	10.0	6.0	0.0
929	11.0	7.0	0.0
930	12.0	11.0	0.0
931	13.0	3.0	1.0
932	14.0	12.0	0.0
933	15.0	13.0	0.0
934	16.0	5.0	2.0
